"id","title","runtime","release_date","genres","vote_average","vote_count","budget","revenue"
385687,Fast X,142,"2023-05-17","['Action', 'Crime', 'Thriller']",7.4,1347,340000000,652000000
603692,John Wick: Chapter 4,170,"2023-03-22","['Action', 'Thriller', 'Crime']",7.9,2896,90000000,431769198
502356,The Super Mario Bros. Movie,92,"2023-04-05","['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",7.8,4628,100000000,1308766975
569094,Spider-Man: Across the Spider-Verse,140,"2023-05-31","['Action', 'Adventure', 'Animation', 'Science Fiction']",8.8,1160,100000000,313522201
667538,Transformers: Rise of the Beasts,127,"2023-06-06","['Action', 'Adventure', 'Science Fiction']",7.4,195,200000000,171045464
447277,The Little Mermaid,135,"2023-05-18","['Adventure', 'Family', 'Fantasy', 'Romance']",6.2,616,250000000,414000000
76600,Avatar: The Way of Water,192,"2022-12-14","['Science Fiction', 'Adventure', 'Action']",7.7,8493,460000000,2320250281
713704,Evil Dead Rise,96,"2023-04-12","['Thriller', 'Horror']",7.1,1597,15000000,141512122
1018494,Operation Seawolf,86,"2022-10-07","['War', 'Thriller', 'Action', 'Adventure', 'Mystery', 'Science Fiction', 'Drama']",6.0,41,15000,23000
447365,Guardians of the Galaxy Vol. 3,150,"2023-05-03","['Science Fiction', 'Adventure', 'Action']",8.1,1932,250000000,805801000
640146,Ant-Man and the Wasp: Quantumania,125,"2023-02-15","['Action', 'Adventure', 'Science Fiction']",6.5,3229,200000000,475766228
840326,Sisu,91,"2023-01-27","['Action', 'War']",7.4,656,6200000,10568631
758323,The Pope's Exorcist,103,"2023-04-05","['Horror', 'Thriller']",7.2,1375,18000000,70204828
882569,Guy Ritchie's The Covenant,123,"2023-04-19","['War', 'Action', 'Thriller']",7.7,514,55000000,17100000
324857,Spider-Man: Into the Spider-Verse,117,"2018-12-06","['Action', 'Adventure', 'Animation', 'Science Fiction']",8.4,13081,90000000,375464627
594767,Shazam! Fury of the Gods,130,"2023-03-15","['Comedy', 'Action', 'Fantasy']",6.7,1931,125000000,133437105
677179,Creed III,116,"2023-03-01","['Drama', 'Action']",7.3,1563,75000000,269000000
